Title / subject,y,x,Date,Location,Artist / designer,Type,Material,Dimensions,Designation,Collection,Notes,Images,Source
Monument to John Playfair,55.9548,-3.183,1825-6,,William Henry Playfair,Square-plan Greek Doric monument,Polished ashlar,,Category A-listed,,Incorporated in observatory compound wall[1],https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Edinburgh_Playfair%27s_monument_02.JPG/568px-Edinburgh_Playfair%27s_monument_02.JPG,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
Monument to Dugald Stewart,55.9545,-3.1845,1831,,William Henry Playfair,Circular Greek-revival Corinthian monument,Polished ashlar,,Category A-listed,,Based on the Choragic Monument of Lysicrates in Athens.[2],https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Dugald_Stewart_Monument.jpg/90px-Dugald_Stewart_Monument.jpg,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
Monument to Robert Burns,55.9535,-3.1783,1831-9,,Thomas Hamilton,Circular Greek-revival Corinthian monument,Ashlar sandstone,,Category A-listed,,Based on the Choragic Monument of Lysicrates in Athens.[3],https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Burns_Monument%2C_Calton_Hill%2C_Edinburgh.JPG/90px-Burns_Monument%2C_Calton_Hill%2C_Edinburgh.JPG,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
Political Martyrs' Monument,55.9534,-3.1858,1844,,Thomas Hamilton,Obelisk,,,Category A-listed (as part of Old Calton Burial Ground),,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Martyrs%27_Monument%2C_Old_Calton_Burying_Ground_-_geograph.org.uk_-_1346869.jpg/90px-Martyrs%27_Monument%2C_Old_Calton_Burying_Ground_-_geograph.org.uk_-_1346869.jpg,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
Scottish-American Soldiers' Monument,55.9535,-3.1861,1893,,George Edwin Bissell,Statue with subsidiary sculpture,Bronze figures on red granite pedestal,,Category A-listed (as part of Old Calton Burial Ground),,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/The_Emancipation_Monument%2C_Edinburgh_-_geograph.org.uk_-_138919.jpg/85px-The_Emancipation_Monument%2C_Edinburgh_-_geograph.org.uk_-_138919.jpg,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
Stones of Scotland Circle,55.9549,-3.1745,2002,,George Wyllie et al,Circle of 32 stone slabs/rocks set in white stone chippings,Stone,,,,Stones from each of Scotland's 32 local authorities; commemorates the re-establishment of the Scottish Parliament,https://www.edinburghgeolsoc.org/egs/wp-content/uploads/2017/06/Stones-of-Scotland-102.jpg,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
Holodomor Memorial Stone,,,2017,,,Memorial,Stone,,,,"Dedicated to the genocide by forced famine in Ukraine, 1932–1933",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Holodomor_Edinburgh_2019.jpg/90px-Holodomor_Edinburgh_2019.jpg,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
Covenanters’ Memorial,55.90468,-3.238737,Erected 1885. Stonework 1738,,William Adam (architect of Old Royal Infirmary (1738)),Commemorative column,Stone,,Category B-listed,,Column formed from 4 engaged Ionic columns from frontispiece of demolished Old Royal Infirmary.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Covenanters_Memorial%2C_Dreghorn%2C_Edinburgh.jpg/90px-Covenanters_Memorial%2C_Dreghorn%2C_Edinburgh.jpg,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
Memorial to Robert Louis Stevenson,55.908597,-3.256297,2013,,Alan Herriot,Statue,Bronze,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Robert_Louis_Stevenson_statue.JPG/120px-Robert_Louis_Stevenson_statue.JPG,https://en.wikipedia.org/wiki/List_of_public_art_in_Edinburgh#/media/
